,comment_label,comment_predicted,comment_prob
0,0,0,0.00065126823
1,1,1,0.9722571
2,1,0,0.011869121
3,0,0,0.0015731122
4,0,0,4.181187e-07
5,0,0,2.3552619e-05
6,0,0,0.00041406954
7,1,0,0.1193055
8,0,0,0.01572399
9,0,0,3.3405393e-06
10,1,1,0.7995989
11,0,0,0.002074867
12,0,0,0.0043483814
13,0,0,4.0063693e-05
14,0,0,1.2029639e-05
15,0,0,0.007665875
16,0,0,0.07864238
17,0,0,0.0013993983
18,0,0,0.0025409926
19,0,0,3.5838746e-06
20,0,0,0.039862495
21,0,0,0.0031726826
22,0,0,0.0016613906
23,0,1,0.7799929
24,0,0,0.001648483
25,0,0,0.00063124346
26,0,0,0.025613915
27,1,1,0.8414352
28,0,0,0.0015427324
29,0,0,0.024609929
30,0,0,9.915273e-05
31,0,0,5.4759766e-05
32,0,0,0.28876963
33,0,0,1.7429787e-07
34,0,0,0.00011412239
35,0,0,5.5622066e-05
36,0,0,0.0001896174
37,0,0,0.061199225
38,0,0,0.00026119032
39,0,0,0.006145092
40,0,0,9.1701964e-05
41,1,1,0.9873262
42,0,0,0.08122776
43,0,0,0.00268344
44,0,0,0.046205748
45,0,0,0.15241033
46,0,0,0.064535476
47,0,0,0.10875559
48,1,1,0.99991965
49,0,0,6.352189e-05
50,0,0,0.02970375
51,0,0,0.00035836728
52,0,0,9.1325484e-07
53,0,0,0.0029121784
54,0,0,0.097734325
55,0,0,0.0036358088
56,0,0,7.843789e-05
57,0,0,0.0013458604
58,0,0,0.0008167381
59,0,0,5.255396e-06
60,1,1,0.99671423
61,0,0,0.00013238186
62,0,0,0.0016875096
63,0,0,0.0004897656
64,0,0,0.012194132
65,1,1,0.97879386
66,1,1,0.99999917
67,0,0,2.8188664e-05
68,0,0,0.00021152887
69,0,0,0.0029235429
70,0,0,1.6832411e-05
71,0,0,0.00013032975
72,0,0,0.058453243
73,0,0,3.883111e-05
74,0,0,0.0019877742
75,0,0,0.00057929166
76,0,0,2.1613141e-05
77,0,0,0.022074388
78,1,0,0.031618766
79,0,0,0.000118667966
80,0,0,0.012383785
81,1,0,0.013795364
82,0,0,0.0011879054
83,0,0,0.0044857943
84,0,0,0.08866235
85,0,0,0.0020348171
86,0,0,0.0007524628
87,0,0,0.0075479234
88,0,0,2.6785696e-07
89,1,0,0.27639747
90,0,0,2.3687992e-06
91,1,1,0.9999914
92,0,0,2.2732726e-07
93,0,0,8.2678725e-06
94,0,0,0.0002824081
95,0,0,6.922184e-05
96,1,0,0.010091316
97,0,0,0.2594502
98,0,0,3.6688634e-06
99,1,0,0.2645483
100,0,0,0.0028449097
101,0,0,0.027428543
102,0,0,0.013222822
103,0,0,0.00092900335
104,0,0,8.4811036e-05
105,0,0,0.00069867563
106,1,0,0.34953272
107,0,0,0.3733045
108,0,0,0.016340127
109,0,1,0.8301815
110,0,0,0.013584392
111,0,0,0.09203286
112,0,0,0.0003740956
113,0,0,0.009559399
114,0,0,0.017375665
115,0,0,0.003839395
116,0,0,0.22490549
117,0,0,0.0010044164
118,0,0,0.3094409
119,0,0,0.18952109
120,0,0,1.6571452e-05
121,1,0,0.00092900335
122,0,0,3.295573e-05
123,1,1,0.99990237
124,0,0,1.3315579e-05
125,1,0,0.016403032
126,0,0,0.00045121065
127,0,0,1.3420014e-05
128,1,1,0.99993026
129,0,0,0.0003393018
130,0,0,0.030502053
131,1,1,0.9999825
132,0,0,3.295573e-05
133,1,1,0.99999726
134,0,0,0.0107767265
135,0,0,0.0012497094
136,0,0,1.8846092e-07
137,0,0,0.0031115087
138,0,0,0.0038844766
139,0,0,0.1046602
140,0,0,0.020685459
141,0,0,1.3954598e-05
142,1,1,0.99816847
143,0,0,5.1336556e-06
144,0,0,0.46292824
145,0,0,0.00023231418
146,0,0,0.01243165
147,0,0,0.15817435
148,0,0,2.753569e-05
149,0,0,0.0107767265
150,0,0,1.3954598e-05
151,0,0,0.00060471025
152,1,1,0.999764
153,0,0,0.00024923251
154,0,0,9.080475e-06
155,0,0,0.15152934
156,1,1,0.99879813
157,0,0,0.051177494
158,0,0,2.0623422e-05
159,0,0,9.625642e-08
160,0,0,3.059022e-07
161,0,0,0.00018522576
162,0,0,0.0006693099
163,0,0,2.5666133e-05
164,0,0,9.6856085e-05
165,0,0,0.0006851713
166,1,0,0.0003982131
167,0,0,0.0006878511
168,1,1,0.9987207
169,0,0,0.014281933
170,0,1,0.8535469
171,0,0,0.0014607495
172,0,0,3.0718187e-05
173,0,0,0.0052608517
174,1,1,0.9994947
175,1,1,0.9568766
176,0,0,0.07369627
177,1,1,0.98173577
178,1,1,0.99999094
179,1,1,0.9979412
180,0,0,6.156764e-05
181,0,0,0.0053018946
182,0,0,0.0015792594
183,0,0,0.0006190417
184,0,0,0.00040924744
185,0,0,0.0007947255
186,1,1,0.5324859
187,0,0,7.571149e-07
188,0,0,4.8226243e-06
189,0,0,0.031026179
190,0,0,7.5279895e-06
191,0,0,0.0023141264
192,1,1,0.9965301
193,0,0,0.005040703
194,0,0,5.1522353e-08
195,0,0,0.0059803305
196,0,0,0.041307304
197,0,0,0.38612667
