,comment_label,comment_predicted,comment_prob
0,0,0,6.0489183e-06
1,1,1,0.8510886
2,1,0,0.0019955386
3,0,0,0.00014768039
4,0,0,2.6016164e-06
5,0,0,6.8543172e-06
6,0,0,1.30071285e-05
7,1,0,2.3187478e-05
8,0,0,0.0001072088
9,0,0,1.3631346e-05
10,1,1,0.97562337
11,0,0,7.071895e-06
12,0,0,4.870464e-05
13,0,0,2.4300241e-05
14,0,0,4.5304373e-06
15,0,0,3.883111e-05
16,0,0,0.0011695103
17,0,0,2.48248e-06
18,0,0,8.0135e-06
19,0,0,4.747857e-06
20,0,0,4.5659704e-06
21,0,0,0.035012625
22,0,0,1.2029639e-05
23,0,0,0.08803312
24,0,0,2.7052529e-06
25,0,0,9.993032e-05
26,0,0,2.7321414e-05
27,1,1,0.9443824
28,0,0,0.00041406954
29,0,0,3.6976385e-06
30,0,0,9.818327e-06
31,0,0,6.339211e-06
32,0,0,0.004166256
33,0,0,2.1400324e-06
34,0,0,4.3229747e-06
35,0,0,7.12736e-06
36,0,0,3.6688634e-06
37,0,0,0.00013342
38,0,0,0.00029137006
39,0,0,4.0063693e-05
40,0,0,0.00010889691
41,1,1,0.99999404
42,0,0,0.0015367271
43,0,0,3.528312e-06
44,0,0,6.144174e-06
45,0,0,0.027428543
46,0,0,5.0644718e-05
47,0,0,0.06656919
48,1,1,0.9999933
49,0,0,3.2192336e-05
50,0,0,0.00045297583
51,0,0,2.5466403e-05
52,0,0,4.637873e-06
53,0,0,1.8631747e-05
54,0,0,7.197912e-05
55,0,0,4.1250123e-06
56,0,0,1.3525267e-05
57,0,0,4.637873e-06
58,0,0,2.2827997e-05
59,0,0,0.00023050673
60,1,1,0.99958104
61,0,0,0.00015476662
62,0,0,4.069458e-05
63,0,0,9.7419215e-06
64,0,0,0.00015118199
65,1,1,0.99990535
66,1,1,0.99999654
67,0,0,3.3931449e-06
68,0,0,4.0929112e-06
69,0,0,9.666109e-06
70,0,0,2.879726e-06
71,0,0,2.1568167e-06
72,0,0,0.004133968
73,0,0,3.7853251e-06
74,0,0,0.0043483814
75,0,0,6.9080756e-06
76,0,0,2.4249737e-06
77,0,0,0.00017400544
78,1,0,0.062331032
79,0,0,1.1936025e-05
80,0,0,9.09884e-05
81,1,0,0.00017952797
82,0,0,8.597225e-06
83,0,0,0.00013032975
84,0,0,0.0004994205
85,0,0,0.26702574
86,0,0,0.122418255
87,0,0,0.0040701376
88,0,0,3.5008543e-06
89,1,0,0.003235056
90,0,0,7.2395987e-06
91,1,1,0.9999951
92,0,0,2.350365e-06
93,0,0,1.9947297e-06
94,0,0,7.662102e-05
95,0,0,2.5268228e-05
96,1,0,0.0011469158
